51583	καβάδης	A	I	1	a	military garment named after the Persian king	urn:cts:greekLit:tlg9022.tlg001:12:792
51616	καγχαλάω	A	I	1	a	rejoice, exult	urn:cts:greekLit:tlg0024.tlg001.perseus-grc1:1:523
51616	καγχαλάω	A	I	1	a	rejoice, exult	urn:cts:greekLit:tlg0024.tlg001.perseus-grc1:2:237
51616	καγχαλάω	A	I	1	a	rejoice, exult	urn:cts:greekLit:tlg0024.tlg001.perseus-grc1:3:80
51616	καγχαλάω	A	I	1	a	rejoice, exult	urn:cts:greekLit:tlg0023.tlg001.perseus-grc1:4:281
51618	καγχασμός	A	I	1	a	loud laughter	urn:cts:greekLit:tlg0542.tlg001:6:199
51619	καγχαστής	A	I	1	a	loud laugher	urn:cts:greekLit:tlg1608.tlg001:p.78B
51619	καγχαστής	A	I	1	a	loud laugher	urn:cts:greekLit:tlg0542.tlg001:6:29
51624	καδαλέομαι	A	I	1	a	one who walks on stilts	Hsch.
51627	κάδδιχος	A	I	1	a	jar	urn:cts:greekLit:tlg0007.tlg004:12
51627	κάδδιχος	A	I	1	a	jar	Hsch.
51627	κάδδιχος	A	I	1	a	jar	Tab.Heracl.1.52
51627	κάδδιχος	A	I	1	a	jar	IG5(1).1447.10
51627	κάδδιχος	A	I	1	a	jar	Hsch.
51629	καδικεύω	A	I	1	a	hold a priesthood	Rev.Phil.35.302
51631	καδίσκιον	A	I	1	a	part of a spice-box	urn:cts:greekLit:tlg0480.tlg001:2
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0496.tlg001:32
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:853
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0540.tlg013.perseus-grc1:37
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0034.tlg001.perseus-grc1:149
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0014.tlg043.perseus-grc1:10
51632	καδίσκος	A	II	1	a	voting-urn	urn:cts:greekLit:tlg0017.tlg0011:21
51633	καδμεία	A	I	1	a	cadmia, calamine	Dsc.5.74
51633	καδμεία	A	I	1	a	cadmia, calamine	Gal.1.413
51633	καδμεία	A	I	1	a	cadmia, calamine	Perseus:abo:pap,P.Tebt.:273:14
51633	καδμεία	A	I	1	a	cadmia, calamine	Perseus:abo:pap,P.Oxy.:1088:4
51635	Καδμειώνη	A	I	1	a	daughter of Cadmus	IG14.1389i59
51636	Καδμῖλος	A	I	1	a	camillus	Lyc.162
51636	Καδμῖλος	A	I	1	a	camillus	LL7.3
51636	Καδμῖλος	A	I	1	a	camillus	urn:cts:greekLit:tlg0007.tlg005:7
51636	Καδμῖλος	A	I	1	a	camillus	urn:cts:greekLit:tlg0081.tlg001:2:22
51637	Καδμογενής	A	I	1	a	Cadmus-born	urn:cts:greekLit:tlg0085.tlg004.perseus-grc1:302
51637	Καδμογενής	A	I	1	a	Cadmus-born	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:116
51637	Καδμογενής	A	I	1	a	Cadmus-born	urn:cts:greekLit:tlg0006.tlg015.perseus-grc1:808
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:388
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0020.tlg001.perseus-grc1:326
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:5:57
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:3:11
51638	Κάδμος	A	I	1	a	the Cadmeans	Pythag.
51638	Κάδμος	A	I	1	a	the Cadmeans	Theol.Ar.54
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:166
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:641c
51638	Κάδμος	A	I	1	a	the Cadmeans	Plu.2.488a
51638	Κάδμος	A	I	1	a	the Cadmeans	Suid.
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0074.tlg018:21
51638	Κάδμος	A	I	1	a	the Cadmeans	J.
51638	Κάδμος	A	I	1	a	the Cadmeans	AP5.178
51638	Κάδμος	A	I	1	a	the Cadmeans	Mel.
51638	Κάδμος	A	I	1	a	the Cadmeans	Pl.
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:5:59
51638	Κάδμος	A	I	1	a	the Cadmeans	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:2(1).842
51640	καδοποιός	A	I	1	a	making pails	urn:cts:greekLit:tlg0019.tlg005.perseus-grc1:1202
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0237.tlg001:17
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0232.tlg001:4
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:3:20
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0011.tlg008.perseus-grc1:534:3
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:549
51641	κάδος1	A	I	1	a	jar	Perseus:abo:pap,CPR:232:12
51641	κάδος1	A	I	1	a	jar	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:11:473b
51641	κάδος1	A	I	2	a	half an	Hedyl.
51641	κάδος1	A	I	2	a	half an	Script. Metrol.1.257
51641	κάδος1	A	I	2	a	half an	2.144
51641	κάδος1	A	III	1	a	funerary urn,	Jahresh.8.154
51641	κάδος1	A	III	1	a	funerary urn,	urn:cts:greekLit:tlg2001.tlg039:268:2
51643	καδύτας	A	I	1	a	dodder, Cassyta filiformis	urn:cts:greekLit:tlg0093.tlg002:2:17:3
51645	Κάειρα	A	I	1	a	Carian woman	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:142
51645	Κάειρα	A	I	1	a	Carian woman	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:92
51647	καθά	A	I	1	a	according as, just as,	IG12.90.43
51647	καθά	A	I	1	a	according as, just as,	116.27
51647	καθά	A	I	1	a	according as, just as,	urn:cts:greekLit:tlg0541.tlg047:551
51647	καθά	A	I	1	a	according as, just as,	Perseus:abo:pap,P.Cair.Zen.:188:8
51647	καθά	A	I	1	a	according as, just as,	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:3:107:10
51647	καθά	A	I	1	a	according as, just as,	urn:cts:greekLit:tlg0527.tlg001:7:9
51647	καθά	A	I	1	a	according as, just as,	Archig.
51647	καθά	A	I	1	a	according as, just as,	Gal.8.626
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:170
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0059.tlg010:22e
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0059.tlg010:59e
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0014.tlg023.perseus-grc1:41
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:684c
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0086.tlg031:240b:10
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:3:32:2
51647	καθά	A	II	1	a	like as if, exactly as	urn:cts:greekLit:tlg2034.tlg023:31
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:86
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0019.tlg006.perseus-grc1:566
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0019.tlg007.perseus-grc1:238
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0059.tlg032:120a
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0541.tlg001:319:13
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:2:130
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:47
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:7:167
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:183
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:2:10:5
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:2:40
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0062.tlg036:9
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0018.tlg001:1:190
51649	καθαγίζω	A	I	1	a	devote, dedicate	urn:cts:greekLit:tlg0018.tlg001:558
51649	καθαγίζω	A	II	1	a	burn	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:202
51649	καθαγίζω	A	II	1	a	burn	urn:cts:greekLit:tlg0007.tlg058:14
51649	καθαγίζω	A	II	1	a	burn	urn:cts:greekLit:tlg0007.tlg061:20
51649	καθαγίζω	A	II	1	a	burn	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:1081
51650	καθαγισμός	A	I	1	a	funeral rites	urn:cts:greekLit:tlg0062.tlg036:19
51651	καθαγνίζω	A	I	1	a	purify, hallow	urn:cts:greekLit:tlg0062.tlg031:12
51651	καθαγνίζω	A	I	1	a	purify, hallow	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:40
51651	καθαγνίζω	A	II	1	a	offer as an expiatory sacrifice	urn:cts:greekLit:tlg0006.tlg010.perseus-grc1:707
51651	καθαγνίζω	A	II	1	a	offer as an expiatory sacrifice	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:1081
51651	καθαγνίζω	A	II	1	a	offer as an expiatory sacrifice	urn:cts:greekLit:tlg0018.tlg001:1:190
51651	καθαγνίζω	A	II	1	a	offer as an expiatory sacrifice	urn:cts:greekLit:tlg0018.tlg001:558
51652	καθαιμακτός	A	I	1	a	bloodstained	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:1358
51653	καθαιμάσσω	A	I	1	a	make bloody, sprinkle	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:450
51653	καθαιμάσσω	A	I	1	a	make bloody, sprinkle	urn:cts:greekLit:tlg0006.tlg007.perseus-grc1:1126
51653	καθαιμάσσω	A	I	1	a	make bloody, sprinkle	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:1527
51653	καθαιμάσσω	A	I	1	a	make bloody, sprinkle	urn:cts:greekLit:tlg0006.tlg006.perseus-grc1:588
51653	καθαιμάσσω	A	I	1	a	make bloody, sprinkle	urn:cts:greekLit:tlg0059.tlg012:254e
51655	κάθαιμος	A	I	1	a	bloody	urn:cts:greekLit:tlg0006.tlg013.perseus-grc1:1374
51655	κάθαιμος	A	I	1	a	bloody	urn:cts:greekLit:tlg0006.tlg009.perseus-grc1:383
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:5:42
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg0010.tlg018.perseus-grc1:66
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:2:2:15
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	IG22.1672.75
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	Perseus:abo:pap,P.Enteux.:9:6
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg0031.tlg008.perseus-grc1:10:8
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg0527.tlg023:3:43
51656	καθαίρεσις	A	I	1	a	pulling down, demolition	urn:cts:greekLit:tlg1599.tlg001:92:31
51656	καθαίρεσις	A	I	2	a	overthrow, subjugation	urn:cts:greekLit:tlg2003.tlg003:320d
51656	καθαίρεσις	A	I	2	a	overthrow, subjugation	urn:cts:greekLit:tlg0015.tlg001:2:4:4
51656	καθαίρεσις	A	I	2	a	overthrow, subjugation	urn:cts:greekLit:tlg0015.tlg001:3:1:1
51656	καθαίρεσις	A	I	2	a	overthrow, subjugation	urn:cts:greekLit:tlg0007.tlg058:82
51656	καθαίρεσις	A	I	3	a	reduction, diminution	urn:cts:greekLit:tlg0086.tlg031:207a:23
51656	καθαίρεσις	A	I	3	a	reduction, diminution	urn:cts:greekLit:tlg0627.tlg006.perseus-grc1:6:3:1
51656	καθαίρεσις	A	I	3	a	reduction, diminution	Gal.17(2).368
51656	καθαίρεσις	A	I	3	a	reduction, diminution	urn:cts:greekLit:tlg0086.tlg012:738a:31
51656	καθαίρεσις	A	I	3	a	reduction, diminution	urn:cts:greekLit:tlg0059.tlg031:58e
51656	καθαίρεσις	A	I	4	a	eclipse	urn:cts:greekLit:tlg0001.tlg001.perseus-grc1:3:533
51657	καθαιρετέος	A	I	1	a	to be put down	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:118
51657	καθαιρετέος	A	II	1	a	one must put down, overthrow	Aristid.1.445J.
51657	καθαιρετέος	A	II	1	a	one must put down, overthrow	urn:cts:greekLit:tlg2001.tlg021:256a
51658	καθαιρέτης	A	I	1	a	overthrower	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:83
51658	καθαιρέτης	A	I	1	a	overthrower	urn:cts:greekLit:tlg0385.tlg001:44:1
51658	καθαιρέτης	A	II	1	a	house-breaker	http://www.trismegistos.org/text/20191
51659	καθαιρετικός	A	I	1	a	destructive	urn:cts:greekLit:tlg0654.tlg002:30
51659	καθαιρετικός	A	I	1	a	destructive	urn:cts:greekLit:tlg0018.tlg001:2:548
51659	καθαιρετικός	A	I	2	a	reducing, catheretic	Gal.11.756
51659	καθαιρετικός	A	I	2	a	reducing, catheretic	Dsc.2.112
51659	καθαιρετικός	A	I	2	a	reducing, catheretic	Gal.7.600
51659	καθαιρετικός	A	I	2	a	reducing, catheretic	urn:cts:greekLit:tlg0018.tlg040:103H
51660	καθαιρετός	A	I	1	a	able to be achieved	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:121
51660	καθαιρετός	A	I	1	a	able to be achieved	D.C.Fr.43.11
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:2:172
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:9:149
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:268
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0019.tlg009.perseus-grc1:10
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0027.tlg001.perseus-grc1:36
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:5:4:8
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0034.tlg001.perseus-grc1:117
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:1:86:6
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0018.tlg001:2:529
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:3:78
51661	καθαιρέω	A	I	1	a	take down	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:1:61:1
51661	καθαιρέω	A	I	2	a	put down, close	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:453
51661	καθαιρέω	A	I	2	a	put down, close	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:24:296
51661	καθαιρέω	A	I	2	a	put down, close	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:426
51661	καθαιρέω	A	I	3	a	bring down	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:750
51661	καθαιρέω	A	I	3	a	bring down	urn:cts:greekLit:tlg0059.tlg023:513a
51661	καθαιρέω	A	I	4	a	swallow	urn:cts:greekLit:tlg0006.tlg008.perseus-grc1:829
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:2:100
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:19:145
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:3:238
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0033.tlg001.perseus-grc1:9:60
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:398
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:517
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0006.tlg012.perseus-grc1:878
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0006.tlg012.perseus-grc1:1143
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0292.tlg001:23
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:1063
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0011.tlg008.perseus-grc1:205
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0014.tlg023.perseus-grc1:53
51661	καθαιρέω	A	II	1	a	put down by force, destroy	urn:cts:greekLit:tlg0007.tlg010:22
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:71
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0014.tlg002.perseus-grc1:8
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:124
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:4
51661	καθαιρέω	A	II	2	a	put down, reduce	Perseus:abo:pap,P.Oxy.:1408:23
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:9:27
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0527.tlg046:9:6
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0011.tlg008.perseus-grc1:646:4
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0011.tlg008.perseus-grc1:263
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0007.tlg012:38
51661	καθαιρέω	A	II	2	a	put down, reduce	urn:cts:greekLit:tlg0031.tlg005.perseus-grc1:19:27
51661	καθαιρέω	A	II	3	a	raze to the ground, demolish	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:58
51661	καθαιρέω	A	II	3	a	raze to the ground, demolish	urn:cts:greekLit:tlg0527.tlg048:14:17
